epoch,step,test/acc,test/loss,train/acc_epoch,train/acc_step,train/f1_epoch,train/loss_step,train/prob_mean,train/prob_std,val/acc,val/avg_class_acc,val/loss
0,4,,,,0.203125,,1.426128625869751,0.25,0.10265152156352997,,,
0,9,,,,0.46875,,1.2315254211425781,0.25,0.10598194599151611,,,
0,14,,,,0.5,,1.1736807823181152,0.25,0.11694148182868958,,,
0,19,,,,0.515625,,1.139108657836914,0.25,0.12721171975135803,,,
0,24,,,,0.5625,,1.0307254791259766,0.25,0.14975488185882568,,,
0,24,,,,,,,,,0.6150000095367432,0.6172127723693848,1.0931686162948608
0,24,,,0.42500001192092896,,0.4204997420310974,,,,,,
1,29,,,,0.5625,,1.0075708627700806,0.25,0.16315056383609772,,,
1,34,,,,0.828125,,0.7808336019515991,0.25,0.18728940188884735,,,
1,39,,,,0.71875,,0.798469066619873,0.25,0.19744519889354706,,,
1,44,,,,0.765625,,0.7755084037780762,0.25,0.19345922768115997,,,
1,49,,,,0.796875,,0.7193204164505005,0.25,0.2129499912261963,,,
1,49,,,,,,,,,0.7450000047683716,0.7446094751358032,0.7296184301376343
1,49,,,0.7068750262260437,,0.7030186057090759,,,,,,
2,54,,,,0.828125,,0.6519837975502014,0.25,0.22808097302913666,,,
2,59,,,,0.890625,,0.6122252345085144,0.25,0.23719166219234467,,,
2,64,,,,0.78125,,0.6252577304840088,0.25,0.24522677063941956,,,
2,69,,,,0.828125,,0.5658406019210815,0.25,0.2671138048171997,,,
2,74,,,,0.84375,,0.5535621643066406,0.25,0.2614312767982483,,,
2,74,,,,,,,,,0.8199999928474426,0.8191972970962524,0.540550172328949
2,74,,,0.8037499785423279,,0.8013159036636353,,,,,,
3,79,,,,0.921875,,0.4510677456855774,0.25,0.278262197971344,,,
3,84,,,,0.828125,,0.46653980016708374,0.25,0.29230445623397827,,,
3,89,,,,0.890625,,0.49361270666122437,0.25,0.2890247404575348,,,
3,94,,,,0.90625,,0.4372428059577942,0.25,0.3008253872394562,,,
3,99,,,,0.890625,,0.39643552899360657,0.25,0.3085516393184662,,,
3,99,,,,,,,,,0.8450000286102295,0.8396061658859253,0.43623125553131104
3,99,,,0.8725000023841858,,0.8704231381416321,,,,,,
4,104,,,,0.859375,,0.3724532127380371,0.25,0.3182935118675232,,,
4,109,,,,0.921875,,0.3332033157348633,0.25,0.32525116205215454,,,
4,114,,,,0.921875,,0.33279675245285034,0.25,0.31784093379974365,,,
4,119,,,,0.953125,,0.27794110774993896,0.25,0.33666786551475525,,,
4,124,,,,0.890625,,0.3605656623840332,0.25,0.32825371623039246,,,
4,124,,,,,,,,,0.875,0.8705227375030518,0.36573734879493713
4,124,,,0.8887500166893005,,0.8870429396629333,,,,,,
5,129,,,,0.921875,,0.2792417109012604,0.25,0.3417379856109619,,,
5,134,,,,0.90625,,0.3848702907562256,0.25,0.31680843234062195,,,
5,139,,,,0.90625,,0.2766146659851074,0.25,0.34613969922065735,,,
5,144,,,,0.90625,,0.29449009895324707,0.25,0.3436186909675598,,,
5,149,,,,0.9375,,0.24344748258590698,0.25,0.35016995668411255,,,
5,149,,,,,,,,,0.875,0.871341347694397,0.3266480565071106
5,149,,,0.9037500023841858,,0.9025355577468872,,,,,,
6,154,,,,0.9375,,0.2642590403556824,0.25,0.34558773040771484,,,
6,159,,,,0.921875,,0.28457725048065186,0.25,0.3503390848636627,,,
6,164,,,,0.890625,,0.3320106267929077,0.25,0.34531447291374207,,,
6,169,,,,0.953125,,0.22797217965126038,0.25,0.35147547721862793,,,
6,174,,,,0.953125,,0.26083946228027344,0.25,0.3441260755062103,,,
6,174,,,,,,,,,0.8824999928474426,0.8798733949661255,0.3007828891277313
6,174,,,0.9150000214576721,,0.9139991998672485,,,,,,
7,179,,,,0.953125,,0.25733503699302673,0.25,0.3419939875602722,,,
7,184,,,,0.953125,,0.19426590204238892,0.25,0.36862078309059143,,,
7,189,,,,0.9375,,0.23482167720794678,0.25,0.3600374758243561,,,
7,194,,,,0.75,,0.5270907878875732,0.25,0.3584967255592346,,,
7,199,,,,0.9375,,0.21169635653495789,0.25,0.3681335747241974,,,
7,199,,,,,,,,,0.8949999809265137,0.8918697834014893,0.2727104127407074
7,199,,,0.9281250238418579,,0.9271209836006165,,,,,,
8,204,,,,0.921875,,0.25851431488990784,0.25,0.3564659357070923,,,
8,209,,,,0.953125,,0.18763259053230286,0.25,0.37404143810272217,,,
8,214,,,,0.90625,,0.2218206822872162,0.25,0.3750525414943695,,,
8,219,,,,0.890625,,0.315187931060791,0.25,0.36767661571502686,,,
8,224,,,,0.796875,,0.5249224305152893,0.25,0.3579612076282501,,,
8,224,,,,,,,,,0.9024999737739563,0.8978337049484253,0.25836309790611267
8,224,,,0.9293749928474426,,0.9284660220146179,,,,,,
